ZOTUID,ID_str,Kingdom,Phylum,Class,Order,Family,Genus,Species,metabarcode,fishlist_old,fishlist_new,gbifSB,gbif_temptrans,NC,Australian Faunal Directory,Fishbase,Plausible Order [GBIF],Plausible Family [GBIF],Plausible Genus [GBIF],Plausible Species [all platforms],Plausible Rank [GBIF],Possible match on LitList,Summary,Species Hit,Nr. of Genus in DB,Action,Reason,Status
ZOTU124,Eukaryota_Chordata_Actinopteri_Gonorynchiformes_Chanidae_Chanos_Chanos chanos,Eukaryota,Chordata,Actinopteri,Gonorynchiformes,Chanidae,Chanos,Chanos chanos,MiFish12S,1,0,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU125,Eukaryota_Chordata_Actinopteri_Ephippiformes_Ephippidae_Platax_NA,Eukaryota,Chordata,Actinopteri,Ephippiformes,Ephippidae,Platax,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU126,Eukaryota_Chordata_Actinopteri_Aulopiformes_Synodontidae_Saurida_Saurida argentea,Eukaryota,Chordata,Actinopteri,Aulopiformes,Synodontidae,Saurida,Saurida argentea,MiFish12S,1,0,0,0,0,Dist. in SB,Western Pacific: widespread from the Gulf of Thailand to northeastern Australia.,yes,yes,yes,NA,NA,NA,NA,0.9,12,NA,,NA
ZOTU127,Eukaryota_Chordata_Actinopteri_Pleuronectiformes_Paralichthyidae_Pseudorhombus_NA,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Pseudorhombus,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU128,Eukaryota_Chordata_Actinopteri_NA_NA_NA_NA,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU172,Eukaryota_Chordata_Actinopteri_Anguilliformes_Ophichthidae_Ophichthus_Ophichthus zophistius,Eukaryota,Chordata,Actinopteri,Anguilliformes,Ophichthidae,Ophichthus,Ophichthus zophistius,MiFish12S,0,0,0,0,0,no,AKA Ophichthus altipennis. Distribution Indo-Pacific https://fishbase.se/summary/Ophichthus-altipennis.html (Clusters alone,yes,yes,yes,no,Genus,Actinopteri,O.altipennis dsitrubution in SB acc. To Fishbase and AFD. Eels are missing from Literature List,1,18,Reassigned to genus level,Species distribution unlikely in Shark Bay,done 13.05.2024
ZOTU13,Eukaryota_Chordata_Actinopteri_Labriformes_Labridae_Choerodon_Choerodon schoenleinii,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Choerodon,Choerodon schoenleinii,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU324,Eukaryota_Chordata_Actinopteri_Perciformes_Centropomidae_Psammoperca_Psammoperca waigiensis,Eukaryota,Chordata,Actinopteri,Perciformes,Centropomidae,Psammoperca,Psammoperca waigiensis,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,Family was given as order (and all shifted subsequently). Added order Perciformes  acc. To Australian Faunal Directory,,done 13.05.2024
ZOTU131,Eukaryota_Chordata_Actinopteri_Gobiiformes_Gobiidae_NA_NA,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU132,Eukaryota_Chordata_Actinopteri_Gobiiformes_Gobiidae_NA_NA,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
