TYPE,ACCESSION,ALIAS,sample_name
SAMPLE,ERS25062129,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12985,M2014
SAMPLE,ERS25062130,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12986,M2015
SAMPLE,ERS25062131,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12987,M2016
SAMPLE,ERS25062132,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12988,M2017
SAMPLE,ERS25062133,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12989,M2018
SAMPLE,ERS25062134,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12990,M2019
SAMPLE,ERS25062135,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12991,M2020
SAMPLE,ERS25062136,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-12992,M2021
SAMPLE,ERS25062137,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-12993,M2022
SAMPLE,ERS25062138,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-12994,M2023
SAMPLE,ERS25062139,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-12995,M2024
SAMPLE,ERS25062140,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-12996,M2025
SAMPLE,ERS25062141,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-12997,M2026
SAMPLE,ERS25062142,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-12998,M2027
SAMPLE,ERS25062143,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-12999,M2028
SAMPLE,ERS25062144,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-13000,M2029
SAMPLE,ERS25062145,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-13001,M2030
SAMPLE,ERS25062146,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-13002,M2031
SAMPLE,ERS25062147,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-13003,M2032
SAMPLE,ERS25062148,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-13004,M2033
SAMPLE,ERS25062149,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-13005,M2034
SAMPLE,ERS25062150,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-13006,M2035
SAMPLE,ERS25062151,ena-SAMPLE-TAB-20-06-2025-06:18:14:770-13007,M2036
SAMPLE,ERS25062152,ena-SAMPLE-TAB-20-06-2025-06:18:14:771-13008,M2037
SAMPLE,ERS25062153,ena-SAMPLE-TAB-20-06-2025-06:18:14:771-13009,M2038
SAMPLE,ERS25062154,ena-SAMPLE-TAB-20-06-2025-06:18:14:771-13010,M2039
SAMPLE,ERS25062155,ena-SAMPLE-TAB-20-06-2025-06:18:14:771-13011,M2040
SAMPLE,ERS25062156,ena-SAMPLE-TAB-20-06-2025-06:18:14:771-13012,M2041
SAMPLE,ERS25062157,ena-SAMPLE-TAB-20-06-2025-06:18:14:771-13013,M2042
SAMPLE,ERS25062158,ena-SAMPLE-TAB-20-06-2025-06:18:14:771-13014,M2043
SAMPLE,ERS25062159,ena-SAMPLE-TAB-20-06-2025-06:18:14:771-13015,M2044
SAMPLE,ERS25062160,ena-SAMPLE-TAB-20-06-2025-06:18:14:771-13016,M2045
SAMPLE,ERS25062161,ena-SAMPLE-TAB-20-06-2025-06:18:14:771-13017,M2046
SAMPLE,ERS25062162,ena-SAMPLE-TAB-20-06-2025-06:18:14:771-13018,M2047
SAMPLE,ERS25062163,ena-SAMPLE-TAB-20-06-2025-06:18:14:771-13019,M2048
SAMPLE,ERS25062164,ena-SAMPLE-TAB-20-06-2025-06:18:14:771-13020,M2049
SAMPLE,ERS25062165,ena-SAMPLE-TAB-20-06-2025-06:18:14:772-13021,M2050
SAMPLE,ERS25062166,ena-SAMPLE-TAB-20-06-2025-06:18:14:772-13022,M2051
SAMPLE,ERS25062167,ena-SAMPLE-TAB-20-06-2025-06:18:14:772-13023,M2052
SAMPLE,ERS25062168,ena-SAMPLE-TAB-20-06-2025-06:18:14:772-13024,M2053
SAMPLE,ERS25062169,ena-SAMPLE-TAB-20-06-2025-06:18:14:772-13025,M2054
SAMPLE,ERS25062170,ena-SAMPLE-TAB-20-06-2025-06:18:14:772-13026,M2055
